timestamp,instrument,timeframe,direction,setup_type,entry_price,stop_loss,take_profit_1,take_profit_2,quantity,risk_amount,fees,slippage,funding,realized_pnl,account_balance_change
2026-06-24T09:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,62831.670135,62211.69384,63683.13424,64271.7104,0.031847,18.74,3.981265,1.990628,0.105951,-24.822229,-24.822229
2026-06-25T13:30:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1635.31725,1627.89228,1644.41158,1651.0193,1.2205785,8.07,3.98201,1.991003,0.006075,-14.044329,-14.044329
2026-06-26T04:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,68.244105,67.89732,68.67902,68.9917,29.20725243,9.13,4.002709,2.001359,0.062319,12.19866,12.19866
2026-06-26T13:15:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,68.97447,68.724,69.264,69.48,28.93336844,6.25,3.983086,1.991542,0.00622,-12.230455,-12.230455
2026-06-27T13:15:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,72.29613,72.02076,72.61886,72.8581,27.57016786,6.6,3.997626,1.998816,0.031243,7.164089,7.164089
2026-07-01T02:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,58804.3875,58266,59538.5,60047.5,0.03392009,17.27,4.020639,2.010328,0.305939,27.01197,27.01197
2026-07-02T14:45:00.000Z,ETHUSDT,15m,SHORT,BEARISH_DIVERGENCE,1694.5523,1699.75192,1688.87212,1684.5202,1.17946231,5.13,4.004456,2.002227,0.006272,-11.14588,-11.14588
2026-07-02T14:30:00.000Z,BTCUSDT,15m,SHORT,BEARISH_DIVERGENCE,61642.42337,62210.35,60867.625,60330.535,0.03241365,17.41,3.987952,1.993979,0.305528,3.866441,3.866441
2026-07-04T15:30:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,82.26111,81.49272,83.31092,84.0382,24.29578756,17.67,3.977538,1.988765,0.199371,-23.835515,-23.835515
2026-07-07T05:45:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,81.0405,80.46684,81.79974,82.3329,24.60287099,13.12,3.995996,1.998001,0.178209,4.163952,4.163952
2026-07-08T17:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,62290.879875,62085.24168,62521.51248,62696.0208,0.03202174,5.59,3.981746,1.990871,0.006215,-11.566892,-11.566892
2026-07-09T13:30:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,62755.892265,62419.90764,63181.46354,63486.0859,0.03174758,9.67,3.990451,1.995228,0.018741,1.746685,1.746685
2026-07-13T00:30:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,64215.541725,63644.4,64992.025,65531.075,0.03103138,16.73,3.966683,1.983337,0.006186,-22.683671,-22.683671
2026-07-13T07:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1788.45378,1779.36396,1799.85406,1808.0501,1.11166314,9.11,3.965222,1.982609,0.074451,-15.133518,-15.133518
2026-07-13T07:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63005.94723,62667.08496,63435.52256,63742.8976,0.03155509,9.7,3.964635,1.982315,0.124254,-15.770451,-15.770451
2026-07-14T00:15:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,62471.230005,62185.26996,62822.12006,63076.8601,0.03172619,8.08,3.978123,1.989066,0.214163,9.98251,9.98251
2026-07-15T18:30:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,77.99898,77.46888,78.69668,79.1878,25.43586806,12.49,3.953475,1.976734,0.024655,-18.446928,-18.446928
2026-07-16T06:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,77.528745,77.16012,77.98482,78.3147,25.54253308,8.43,3.95016,1.975078,0.018522,-14.369731,-14.369731
2026-07-16T14:15:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,64667.327505,64227.06,65246.935,65654.885,0.03057812,12.47,3.940366,1.97018,0.067867,-18.452757,-18.452757
2026-07-16T14:15:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,76.69833,75.98484,77.67274,78.3479,25.78159329,17.41,3.935436,1.967714,0.067707,-23.377557,-23.377557
2026-07-17T10:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63031.64007,62667.08496,63499.72256,63832.7776,0.03123883,10.4,3.925702,1.962849,0.092378,-16.385178,-16.385178
2026-07-19T14:15:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,76.308135,75.55656,77.34016,78.0536,25.76076889,18.38,3.911178,1.955584,0.073597,-24.319122,-24.319122
2026-07-21T07:30:00.000Z,SOLUSDT,15m,SHORT,BEARISH_DIVERGENCE,78.52072,79.00476,77.89286,77.4481,24.94793812,11.1,3.897617,1.948814,0.216718,16.128541,16.128541
2026-07-21T09:30:00.000Z,ETHUSDT,15m,SHORT,BEARISH_DIVERGENCE,1937.540745,1954.41652,1914.65022,1898.7437,1.01125037,16.09,3.902462,1.951235,0.253322,12.059982,12.059982
2026-07-23T09:30:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,1930.274655,1913.35584,1953.24124,1969.1954,1.01878274,16.25,3.91485,1.957421,0.079656,-22.20575,-22.20575
2026-07-25T19:30:00.000Z,ETHUSDT,15m,SHORT,BEARISH_DIVERGENCE,1874.48229,1884.66864,1861.54704,1852.2984,1.04568927,9.67,3.931889,1.965942,0.220807,-15.789842,-15.789842
2026-07-26T06:00:00.000Z,ETHUSDT,15m,SHORT,BEARISH_DIVERGENCE,1882.328365,1899.066,1859.576,1843.78,1.03965369,16.42,3.932328,1.96616,0.220564,-22.541421,-22.541421
2026-07-26T09:15:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,64532.08992,64029.57312,65205.24032,65675.5072,0.03034387,14.27,3.923912,1.961958,0.30034,3.380605,3.380605
2026-07-26T15:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,75.07752,74.5506,75.7741,76.2635,26.03595194,12.74,3.932947,1.96648,0.113567,19.470996,19.470996
2026-07-28T11:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,63428.128215,62806.764,64280.929,64870.595,0.03088519,18.21,3.897819,1.948905,0.055042,-24.113712,-24.113712
